,VaR_CAViaR,loss_real,viol,year,exceedance,exceedance_ratio
2015-02-03,0.0095094208954282,0.0159652302284033,1,2015,0.0064558093329751005,1.678885644453789
2015-03-09,0.0073011507598673,0.0108486868570592,1,2015,0.003547536097191899,1.4858872544711534
2015-04-07,0.0124658916116615,0.0165707394131062,1,2015,0.004104847801444699,1.32928633821946
2015-05-18,0.0113859946832623,0.0139786173411662,1,2015,0.002592622657903901,1.2277027813577959
2015-08-21,0.0166231883798404,0.0175411011475098,1,2015,0.0009179127676694002,1.055218815229369
2015-08-31,0.0123005650442773,0.0196786883855387,1,2015,0.007378123341261401,1.59981987125819
2015-09-25,0.0114960018148399,0.0117495595778242,1,2015,0.0002535577629843005,1.0220561693594192
2016-11-10,0.0162523491653135,0.0168549525312273,1,2016,0.0006026033659138029,1.0370779239225247
2017-05-03,0.0142264995848261,0.0142690623036267,1,2017,4.2562718800598365e-05,1.0029917913782527
2018-11-12,0.0140964004497661,0.0167868030009843,1,2018,0.0026904025512181993,1.1908574150405071
2018-11-19,0.0151768561019884,0.0157483248389517,1,2018,0.0005714687369633015,1.0376539602881543
2018-11-21,0.0125930064624786,0.0174807994067041,1,2018,0.0048877929442255,1.388135506702779
2019-05-21,0.0139762279849595,0.0161973676633914,1,2019,0.0022211396784319014,1.1589226850636793
2019-07-31,0.0133520860188522,0.0183014764348106,1,2019,0.004949390415958401,1.3706829336607187
2019-09-16,0.009776292323209,0.0117516570998239,1,2019,0.0019753647766148994,1.2020566398086692
2020-01-07,0.0117378370028355,0.0122124866206897,1,2020,0.0004746496178542007,1.0404375710567066
2020-03-05,0.0131732619294551,0.0205939119059618,1,2020,0.0074206499765067015,1.5633115029705973
2020-03-06,0.0169665908197689,0.0671457196841733,1,2020,0.0501791288644044,3.957525727910958
2020-03-13,0.0364332998731267,0.0448896072089107,1,2020,0.008456307335784001,1.2321037996896185
2020-03-17,0.0470141432022574,0.0784301385247232,1,2020,0.031415995322465806,1.6682243508578363
2020-04-24,0.0266666120176266,0.054991694138219,1,2020,0.0283250821205924,2.0621927563152584
2020-06-10,0.0205800216276765,0.0258676807897816,1,2020,0.005287659162105097,1.256931662063665
2021-06-16,0.0122969394530233,0.0140903170783576,1,2021,0.0017933776253343005,1.1458393474396904
2021-07-16,0.0159269786390206,0.0177049756162488,1,2021,0.001777996977228198,1.1116342915706663
2021-11-24,0.0177856939459598,0.0305240587096649,1,2021,0.012738364763705101,1.7162140989499457
2022-03-08,0.0249095164594603,0.0267974645811732,1,2022,0.0018879481217129006,1.0757922428877933
2024-07-18,0.0127839664042701,0.0140241433420899,1,2024,0.0012401769378197983,1.0970103408129699
