Model,From,To,T,Expected Viol.,Violations,Violation Rate,VR Gap,Coverage Bias,Tick Loss,Winkler Score,Mean VaR Level,Max VaR Level,Min VaR Level,Mean VaR 2020,Max VaR 2020,n_negative_var,p_UC,p_CC,p_DQ,UC Test,CC Test,DQ Test,Valid(CC&DQ),year
GARCH-Normal,2015-01-02,2015-12-31,252,2.5200000000000022,4,0.015873015873015872,0.005873015873015863,0.005873015873015863,0.00018776625745349905,0.01588753055544395,0.015818565040171668,0.0244128143629235,0.0110208400279969,,,0,0.3880381133603774,0.645764343079595,0.9724645797043296,PASS,PASS,PASS,YES,2015
GARCH-Normal,2016-01-04,2016-12-30,250,2.500000000000002,2,0.008,0.0020000000000000087,-0.0020000000000000087,0.00018911408630971382,0.015874424844877423,0.01582026390582633,0.0263358710980163,0.009622945953595,,,0,0.7419327009526262,0.9320096436669167,0.9993642217048704,PASS,PASS,PASS,YES,2016
GARCH-Normal,2017-01-03,2017-12-29,249,2.490000000000002,4,0.01606425702811245,0.0060642570281124394,0.0060642570281124394,0.0001506892771402394,0.010098108601390172,0.010005636517804395,0.0122974767522609,0.0080225735945042,,,0,0.37672501519974744,0.6336506230413519,0.008650246225875624,PASS,PASS,FAIL,NO,2017
GARCH-Normal,2018-01-02,2018-12-31,250,2.500000000000002,11,0.044,0.03399999999999999,0.03399999999999999,0.0002161703795133369,0.011978355553652916,0.011773213383966722,0.026034258887519,0.0083822933605137,,,0,6.711051864838335e-05,0.0002130690466567442,0.019423867388387084,FAIL,FAIL,FAIL,NO,2018
GARCH-Normal,2019-01-02,2019-12-31,251,2.5100000000000025,5,0.0199203187250996,0.009920318725099592,0.009920318725099592,0.0001920278719094092,0.012108929077793318,0.011975261942029686,0.0223109835799496,0.0084913551827215,,,0,0.16403965089843964,0.3428915268516669,0.8813248707921008,PASS,PASS,PASS,YES,2019
GARCH-Normal,2020-01-02,2020-12-31,251,2.5100000000000025,11,0.043824701195219126,0.03382470119521912,0.03382470119521912,0.0006502782193824029,0.024376102026786615,0.023553538862204442,0.0846016330364531,0.0091303677596917,0.023553538862204442,0.0846016330364531,0,6.962879841576619e-05,7.736407922964705e-05,0.016362890807022912,FAIL,FAIL,FAIL,NO,2020
GARCH-Normal,2021-01-04,2021-12-31,252,2.5200000000000022,5,0.01984126984126984,0.009841269841269831,0.009841269841269831,0.0002763232815820985,0.013364330662157057,0.013078859361888226,0.026319357320348,0.0090533385824328,,,0,0.1662402395452115,0.34649199718690193,0.8829277531497642,PASS,PASS,PASS,YES,2021
GARCH-Normal,2022-01-03,2022-12-30,251,2.5100000000000025,4,0.01593625498007968,0.005936254980079672,0.005936254980079672,0.00024172915241263277,0.01846446708011871,0.01834013586314844,0.0304348076619001,0.0111751194588823,,,0,0.3842548237900836,0.6417438220271556,0.9718308380262235,PASS,PASS,PASS,YES,2022
GARCH-Normal,2023-01-03,2023-12-29,250,2.500000000000002,1,0.004,0.006000000000000009,-0.006000000000000009,0.00015817155311498066,0.013581361182193486,0.013540195241337118,0.0199698626393028,0.0099919087037878,,,0,0.2780714900139559,0.5530660547114781,0.8270161764816052,PASS,PASS,PASS,YES,2023
GARCH-Normal,2024-01-02,2024-12-27,250,2.500000000000002,4,0.016,0.0059999999999999915,0.0059999999999999915,0.0001505157146502985,0.012357351152121134,0.012308457055727263,0.0152020500867093,0.0098058466678935,,,0,0.3804837382389562,0.6377058154833053,0.9711856102480741,PASS,PASS,PASS,YES,2024
