,VaR_GARCH,loss_real,viol,year,exceedance,exceedance_ratio
2015-08-21,0.0164291082096512,0.0175411011475098,1,2015,0.001111992937858599,1.0676843151599285
2016-11-10,0.012099752464012,0.0168549525312273,1,2016,0.0047552000672153,1.3929997808929213
2017-03-07,0.0108020697572117,0.0134541261988011,1,2017,0.0026520564415894003,1.2455137303495776
2017-05-03,0.0094468745049751,0.0142690623036267,1,2017,0.004822187798651598,1.5104532505552013
2018-01-26,0.010812888336388,0.0121228288297495,1,2018,0.0013099404933615,1.1211462148326485
2018-06-14,0.0100921494654904,0.0142826469995837,1,2018,0.0041904975340933005,1.4152234911326371
2018-07-10,0.0111966463558758,0.0136138671491323,1,2018,0.0024172207932565,1.215887928976875
2018-10-09,0.0106545769949958,0.010840528942776,1,2018,0.00018595194778019998,1.0174527761982044
2018-11-12,0.01181405202347,0.0167868030009843,1,2018,0.004972750977514298,1.4209183240124001
2018-11-19,0.015539392711545,0.0157483248389517,1,2018,0.0002089321274067,1.0134453212738148
2019-05-21,0.0098096923268402,0.0161973676633914,1,2019,0.006387675336551201,1.6511596004977593
2019-07-31,0.0125941303735408,0.0183014764348106,1,2019,0.005707346061269802,1.4531750817238205
2020-02-24,0.0127284589288553,0.0145204717467917,1,2020,0.0017920128179364,1.1407878854740163
2020-03-06,0.0271159385847192,0.0671457196841733,1,2020,0.0400297810994541,2.476245455210328
2020-10-27,0.020079954228798,0.022409920296033,1,2020,0.0023299660672350016,1.1160344311887644
2021-07-16,0.0165479983038822,0.0177049756162488,1,2021,0.0011569773123666013,1.0699164509882244
2021-11-24,0.020256766144465,0.0305240587096649,1,2021,0.010267292565199898,1.5068574367683736
2024-07-18,0.0121294572551855,0.0140241433420899,1,2024,0.0018946860869044,1.1562053476130927
